2024-11-04 00:00:53: 52.27 V, 0.91 psi, 6.21 psi
2024-11-04 06:35:17: 54.53 V, 1.73 psi, 6.21 psi
2024-11-04 06:36:17: 54.53 V, 1.66 psi, 6.21 psi
2024-11-04 06:37:17: 54.46 V, 1.58 psi, 6.21 psi
2024-11-04 06:38:17: 54.36 V, 1.52 psi, 6.21 psi
2024-11-04 06:40:17: 54.30 V, 1.38 psi, 6.21 psi
2024-11-04 06:41:17: 54.27 V, 1.29 psi, 6.20 psi
2024-11-04 06:42:17: 54.35 V, 1.22 psi, 6.20 psi
2024-11-04 06:43:17: 54.32 V, 1.14 psi, 6.20 psi
2024-11-04 06:44:17: 54.26 V, 1.08 psi, 6.20 psi
2024-11-04 06:45:18: 54.38 V, 1.01 psi, 6.20 psi
2024-11-04 06:46:18: 54.35 V, 0.94 psi, 6.20 psi
2024-11-04 06:47:18: 54.44 V, 0.89 psi, 6.20 psi
2024-11-04 06:48:18: 54.41 V, 0.82 psi, 6.20 psi
2024-11-04 06:49:18: 54.39 V, 0.78 psi, 6.20 psi
2024-11-04 06:50:18: 54.37 V, 0.72 psi, 6.20 psi
2024-11-04 06:51:18: 54.34 V, 0.69 psi, 6.20 psi
2024-11-04 06:52:18: 54.34 V, 0.64 psi, 6.20 psi
2024-11-04 06:53:18: 54.29 V, 0.60 psi, 6.20 psi
2024-11-04 06:54:18: 54.53 V, 0.57 psi, 6.19 psi
2024-11-04 06:55:18: 54.50 V, 0.54 psi, 6.20 psi
2024-11-04 06:56:18: 55.05 V, 0.51 psi, 6.19 psi
2024-11-04 06:57:18: 55.13 V, 0.47 psi, 6.19 psi
2024-11-04 06:58:18: 55.03 V, 0.46 psi, 6.19 psi
2024-11-04 06:59:18: 55.01 V, 0.42 psi, 6.20 psi
2024-11-04 07:00:18: 54.97 V, 0.40 psi, 6.19 psi
2024-11-04 07:01:19: 55.11 V, 0.39 psi, 6.19 psi
2024-11-04 07:02:19: 55.20 V, 0.35 psi, 6.19 psi
2024-11-04 07:03:19: 55.18 V, 0.34 psi, 6.18 psi
2024-11-04 07:04:19: 55.27 V, 0.30 psi, 6.18 psi
2024-11-04 07:05:19: 55.24 V, 0.28 psi, 6.18 psi
2024-11-04 07:06:19: 55.04 V, 0.26 psi, 6.19 psi
2024-11-04 07:07:19: 55.02 V, 0.23 psi, 6.18 psi
2024-11-04 07:08:19: 55.19 V, 0.36 psi, 6.18 psi
2024-11-04 07:09:19: 55.20 V, 0.40 psi, 6.18 psi
2024-11-04 07:10:19: 55.23 V, 0.46 psi, 6.18 psi
2024-11-04 07:11:19: 55.36 V, 0.49 psi, 6.18 psi
2024-11-04 07:12:19: 55.30 V, 0.55 psi, 6.18 psi
2024-11-04 07:13:19: 55.07 V, 0.58 psi, 6.18 psi
2024-11-04 07:14:19: 55.08 V, 0.62 psi, 6.18 psi
2024-11-04 07:15:19: 55.21 V, 0.68 psi, 6.18 psi
2024-11-04 07:16:19: 55.34 V, 0.72 psi, 6.18 psi
2024-11-04 07:17:20: 55.46 V, 0.78 psi, 6.18 psi
2024-11-04 07:18:20: 55.48 V, 0.81 psi, 6.18 psi
2024-11-04 07:19:20: 55.39 V, 0.87 psi, 6.18 psi
2024-11-04 07:20:20: 55.30 V, 0.91 psi, 6.18 psi
2024-11-04 07:21:20: 55.28 V, 0.95 psi, 6.18 psi
2024-11-04 07:22:20: 55.13 V, 1.01 psi, 6.18 psi
2024-11-04 07:23:20: 55.14 V, 1.05 psi, 6.18 psi
2024-11-04 07:24:20: 55.27 V, 1.11 psi, 6.18 psi
2024-11-04 07:26:20: 55.32 V, 1.22 psi, 6.18 psi
2024-11-04 07:28:20: 55.34 V, 1.33 psi, 6.18 psi
2024-11-04 07:29:20: 55.27 V, 1.40 psi, 6.18 psi
2024-11-04 07:30:20: 55.30 V, 1.44 psi, 6.18 psi
2024-11-04 07:31:20: 55.09 V, 1.53 psi, 6.18 psi
2024-11-04 07:32:20: 55.16 V, 1.59 psi, 6.18 psi
2024-11-04 07:33:20: 55.29 V, 1.64 psi, 6.18 psi
2024-11-04 07:34:21: 55.22 V, 1.71 psi, 6.17 psi
2024-11-04 07:36:21: 55.26 V, 1.84 psi, 6.17 psi
2024-11-04 07:37:21: 55.28 V, 1.90 psi, 6.17 psi
2024-11-04 07:38:21: 55.32 V, 1.98 psi, 6.17 psi
2024-11-04 07:40:21: 55.34 V, 2.11 psi, 6.17 psi
2024-11-04 07:41:21: 55.22 V, 1.98 psi, 6.17 psi
2024-11-04 07:42:21: 55.18 V, 1.91 psi, 6.18 psi
2024-11-04 07:43:21: 55.28 V, 1.87 psi, 6.18 psi
2024-11-04 07:44:21: 55.25 V, 1.82 psi, 6.18 psi
2024-11-04 07:45:21: 55.25 V, 1.81 psi, 6.18 psi
2024-11-04 07:46:21: 55.23 V, 1.76 psi, 6.18 psi
2024-11-04 07:47:21: 55.18 V, 1.72 psi, 6.18 psi
2024-11-04 07:48:21: 55.51 V, 1.66 psi, 6.18 psi
2024-11-04 07:49:21: 55.48 V, 1.59 psi, 6.18 psi
2024-11-04 07:50:22: 55.35 V, 1.53 psi, 6.18 psi
2024-11-04 07:51:22: 55.31 V, 1.45 psi, 6.18 psi
2024-11-04 07:52:22: 55.41 V, 1.40 psi, 6.18 psi
2024-11-04 07:53:22: 55.37 V, 1.31 psi, 6.18 psi
2024-11-04 07:54:22: 55.43 V, 1.25 psi, 6.19 psi
2024-11-04 07:55:22: 55.41 V, 1.17 psi, 6.18 psi
2024-11-04 07:56:22: 55.35 V, 1.09 psi, 6.18 psi
2024-11-04 07:57:22: 55.35 V, 1.03 psi, 6.19 psi
2024-11-04 07:58:22: 55.45 V, 0.96 psi, 6.18 psi
2024-11-04 07:59:22: 55.42 V, 0.91 psi, 6.18 psi
2024-11-04 08:00:22: 55.38 V, 0.83 psi, 6.18 psi
2024-11-04 08:01:22: 55.23 V, 0.79 psi, 6.19 psi
2024-11-04 08:02:22: 55.26 V, 0.75 psi, 6.18 psi
2024-11-04 08:03:22: 55.22 V, 0.70 psi, 6.18 psi
2024-11-04 08:04:22: 55.21 V, 0.67 psi, 6.19 psi
2024-11-04 08:05:22: 55.20 V, 0.62 psi, 6.18 psi
2024-11-04 08:06:22: 55.28 V, 0.59 psi, 6.19 psi
2024-11-04 08:07:23: 55.28 V, 0.55 psi, 6.18 psi
2024-11-04 08:08:23: 55.24 V, 0.52 psi, 6.19 psi
2024-11-04 08:09:23: 55.25 V, 0.49 psi, 6.19 psi
2024-11-04 08:10:23: 55.23 V, 0.46 psi, 6.18 psi
2024-11-04 08:11:23: 55.22 V, 0.44 psi, 6.19 psi
2024-11-04 08:12:23: 55.32 V, 0.40 psi, 6.19 psi
2024-11-04 08:13:23: 55.21 V, 0.39 psi, 6.19 psi
2024-11-04 08:14:23: 55.21 V, 0.35 psi, 6.18 psi
2024-11-04 08:15:23: 55.06 V, 0.34 psi, 6.18 psi
2024-11-04 08:16:23: 54.85 V, 0.30 psi, 6.18 psi
2024-11-04 08:17:23: 54.83 V, 0.27 psi, 6.18 psi
2024-11-04 08:18:23: 54.95 V, 0.26 psi, 6.18 psi
2024-11-04 08:19:23: 55.05 V, 0.23 psi, 6.18 psi
2024-11-04 08:20:23: 55.05 V, 0.24 psi, 6.18 psi
2024-11-04 08:21:23: 55.09 V, 0.35 psi, 6.17 psi
2024-11-04 08:22:23: 55.12 V, 0.41 psi, 6.17 psi
2024-11-04 08:23:24: 55.13 V, 0.44 psi, 6.17 psi
2024-11-04 08:24:24: 55.12 V, 0.49 psi, 6.17 psi
2024-11-04 08:25:24: 55.19 V, 0.53 psi, 6.16 psi
2024-11-04 08:26:24: 55.19 V, 0.57 psi, 6.17 psi
2024-11-04 08:27:24: 55.10 V, 0.63 psi, 6.16 psi
2024-11-04 08:28:24: 55.12 V, 0.67 psi, 6.16 psi
2024-11-04 08:29:24: 55.25 V, 0.73 psi, 6.16 psi
2024-11-04 08:30:24: 55.26 V, 0.76 psi, 6.16 psi
2024-11-04 08:31:24: 55.26 V, 0.82 psi, 6.16 psi
2024-11-04 08:32:24: 55.31 V, 0.88 psi, 6.16 psi
2024-11-04 08:33:24: 55.33 V, 0.91 psi, 6.16 psi
2024-11-04 08:34:24: 55.31 V, 0.97 psi, 6.15 psi
2024-11-04 08:35:24: 55.25 V, 1.01 psi, 6.16 psi
2024-11-04 08:36:24: 55.26 V, 1.05 psi, 6.15 psi
2024-11-04 08:37:24: 55.28 V, 1.11 psi, 6.15 psi
2024-11-04 08:38:24: 55.30 V, 1.15 psi, 6.15 psi
2024-11-04 08:39:24: 55.22 V, 1.22 psi, 6.15 psi
2024-11-04 08:40:25: 55.23 V, 1.27 psi, 6.15 psi
2024-11-04 08:41:25: 55.26 V, 1.34 psi, 6.15 psi
2024-11-04 08:42:25: 55.28 V, 1.40 psi, 6.15 psi
2024-11-04 08:43:25: 55.26 V, 1.45 psi, 6.15 psi
2024-11-04 08:44:25: 55.44 V, 1.51 psi, 6.16 psi
2024-11-04 08:45:25: 55.46 V, 1.57 psi, 6.16 psi
2024-11-04 08:46:25: 55.49 V, 1.65 psi, 6.16 psi
2024-11-04 08:47:25: 55.50 V, 1.70 psi, 6.16 psi
2024-11-04 08:48:25: 55.64 V, 1.78 psi, 6.16 psi
2024-11-04 08:49:25: 55.66 V, 1.83 psi, 6.16 psi
2024-11-04 08:50:25: 55.66 V, 1.90 psi, 6.16 psi
2024-11-04 08:51:25: 55.61 V, 1.97 psi, 6.16 psi
2024-11-04 08:52:25: 55.63 V, 2.02 psi, 6.16 psi
2024-11-04 08:53:25: 55.66 V, 2.10 psi, 6.16 psi
2024-11-04 08:54:25: 55.65 V, 2.06 psi, 6.16 psi
2024-11-04 08:55:25: 55.60 V, 1.97 psi, 6.16 psi
2024-11-04 08:56:26: 55.58 V, 1.90 psi, 6.16 psi
2024-11-04 08:57:26: 55.57 V, 1.88 psi, 6.17 psi
2024-11-04 08:58:26: 55.55 V, 1.84 psi, 6.17 psi
2024-11-04 08:59:26: 55.51 V, 1.80 psi, 6.17 psi
2024-11-04 09:00:26: 55.63 V, 1.76 psi, 6.17 psi
2024-11-04 09:01:26: 55.62 V, 1.71 psi, 6.17 psi
2024-11-04 09:02:26: 55.46 V, 1.67 psi, 6.17 psi
2024-11-04 09:03:26: 55.46 V, 1.60 psi, 6.18 psi
2024-11-04 09:04:26: 55.32 V, 1.52 psi, 6.18 psi
2024-11-04 09:05:26: 55.40 V, 1.46 psi, 6.18 psi
2024-11-04 09:06:26: 55.36 V, 1.39 psi, 6.18 psi
2024-11-04 09:07:26: 55.35 V, 1.31 psi, 6.18 psi
2024-11-04 09:08:26: 55.31 V, 1.23 psi, 6.18 psi
2024-11-04 09:09:26: 55.24 V, 1.17 psi, 6.19 psi
2024-11-04 09:10:26: 55.25 V, 1.09 psi, 6.18 psi
2024-11-04 09:11:26: 55.23 V, 1.02 psi, 6.18 psi
2024-11-04 09:12:26: 55.21 V, 0.96 psi, 6.19 psi
2024-11-04 09:13:27: 55.18 V, 0.89 psi, 6.19 psi
2024-11-04 09:14:27: 55.16 V, 0.84 psi, 6.18 psi
2024-11-04 09:15:27: 55.24 V, 0.78 psi, 6.18 psi
2024-11-04 09:16:27: 55.25 V, 0.74 psi, 6.18 psi
2024-11-04 09:17:27: 55.22 V, 0.69 psi, 6.18 psi
2024-11-04 09:18:27: 55.18 V, 0.65 psi, 6.18 psi
2024-11-04 09:19:27: 55.20 V, 0.61 psi, 6.18 psi
2024-11-04 09:20:27: 55.29 V, 0.57 psi, 6.18 psi
2024-11-04 09:21:27: 55.17 V, 0.55 psi, 6.18 psi
2024-11-04 09:22:27: 55.16 V, 0.51 psi, 6.18 psi
2024-11-04 09:23:27: 55.15 V, 0.49 psi, 6.17 psi
2024-11-04 09:24:27: 55.13 V, 0.45 psi, 6.18 psi
2024-11-04 09:25:27: 55.10 V, 0.43 psi, 6.17 psi
2024-11-04 09:26:27: 55.22 V, 0.39 psi, 6.17 psi
2024-11-04 09:27:27: 55.32 V, 0.36 psi, 6.17 psi
2024-11-04 09:28:27: 55.31 V, 0.34 psi, 6.17 psi
2024-11-04 09:29:28: 55.30 V, 0.31 psi, 6.17 psi
2024-11-04 09:30:28: 55.19 V, 0.29 psi, 6.17 psi
2024-11-04 09:31:28: 55.16 V, 0.26 psi, 6.17 psi
2024-11-04 09:32:28: 55.16 V, 0.26 psi, 6.16 psi
2024-11-04 09:33:28: 55.32 V, 0.38 psi, 6.16 psi
2024-11-04 09:34:28: 55.24 V, 0.42 psi, 6.16 psi
2024-11-04 09:36:28: 55.49 V, 0.52 psi, 6.16 psi
2024-11-04 09:37:28: 55.41 V, 0.57 psi, 6.16 psi
2024-11-04 09:38:28: 55.41 V, 0.61 psi, 6.16 psi
2024-11-04 09:39:28: 55.40 V, 0.66 psi, 6.16 psi
2024-11-04 09:40:28: 55.46 V, 0.71 psi, 6.16 psi
2024-11-04 09:42:28: 55.49 V, 0.81 psi, 6.16 psi
2024-11-04 09:43:28: 55.51 V, 0.84 psi, 6.16 psi
2024-11-04 09:44:28: 55.42 V, 0.90 psi, 6.16 psi
2024-11-04 09:45:28: 55.44 V, 0.94 psi, 6.16 psi
2024-11-04 09:46:29: 55.42 V, 0.99 psi, 6.17 psi
2024-11-04 09:47:29: 55.47 V, 1.04 psi, 6.16 psi
2024-11-04 09:48:29: 55.60 V, 1.08 psi, 6.16 psi
2024-11-04 09:49:29: 55.62 V, 1.15 psi, 6.16 psi
2024-11-04 09:50:29: 55.64 V, 1.19 psi, 6.17 psi
2024-11-04 09:51:29: 55.66 V, 1.25 psi, 6.17 psi
2024-11-04 09:52:29: 55.67 V, 1.30 psi, 6.16 psi
2024-11-04 09:53:29: 55.64 V, 1.38 psi, 6.17 psi
2024-11-04 09:54:29: 55.61 V, 1.42 psi, 6.17 psi
2024-11-04 09:55:29: 55.62 V, 1.48 psi, 6.17 psi
2024-11-04 09:56:29: 55.66 V, 1.55 psi, 6.17 psi
2024-11-04 09:57:29: 55.69 V, 1.60 psi, 6.17 psi
2024-11-04 09:58:29: 55.71 V, 1.68 psi, 6.17 psi
2024-11-04 09:59:29: 55.75 V, 1.73 psi, 6.17 psi
2024-11-04 10:00:29: 55.66 V, 1.81 psi, 6.17 psi
2024-11-04 10:01:29: 55.67 V, 1.86 psi, 6.17 psi
2024-11-04 10:02:29: 55.67 V, 1.93 psi, 6.17 psi
2024-11-04 10:03:30: 55.73 V, 2.00 psi, 6.18 psi
2024-11-04 10:04:30: 55.75 V, 2.05 psi, 6.18 psi
2024-11-04 10:05:30: 55.80 V, 2.15 psi, 6.18 psi
2024-11-04 10:06:30: 55.74 V, 2.00 psi, 6.18 psi
2024-11-04 10:07:30: 55.73 V, 1.94 psi, 6.18 psi
2024-11-04 10:08:30: 55.70 V, 1.88 psi, 6.18 psi
2024-11-04 10:09:30: 55.64 V, 1.86 psi, 6.18 psi
2024-11-04 10:10:30: 55.67 V, 1.82 psi, 6.18 psi
2024-11-04 10:11:30: 55.65 V, 1.78 psi, 6.18 psi
2024-11-04 10:12:30: 55.75 V, 1.74 psi, 6.18 psi
2024-11-04 10:13:30: 55.72 V, 1.68 psi, 6.19 psi
2024-11-04 10:14:30: 55.81 V, 1.62 psi, 6.19 psi
2024-11-04 10:15:30: 55.78 V, 1.55 psi, 6.19 psi
2024-11-04 10:16:30: 55.65 V, 1.49 psi, 6.19 psi
2024-11-04 10:17:30: 55.62 V, 1.41 psi, 6.18 psi
2024-11-04 10:18:30: 55.55 V, 1.33 psi, 6.19 psi
2024-11-04 10:19:31: 55.56 V, 1.26 psi, 6.19 psi
2024-11-04 10:20:31: 55.52 V, 1.18 psi, 6.19 psi
2024-11-04 10:21:31: 55.50 V, 1.12 psi, 6.19 psi
2024-11-04 10:22:31: 55.57 V, 1.04 psi, 6.19 psi
2024-11-04 10:23:31: 55.56 V, 0.99 psi, 6.19 psi
2024-11-04 10:24:31: 55.53 V, 0.92 psi, 6.19 psi
2024-11-04 10:25:31: 55.48 V, 0.86 psi, 6.19 psi
2024-11-04 10:26:31: 55.37 V, 0.80 psi, 6.19 psi
2024-11-04 10:27:31: 55.35 V, 0.74 psi, 6.18 psi
2024-11-04 10:28:31: 55.34 V, 0.71 psi, 6.19 psi
2024-11-04 10:31:31: 55.45 V, 0.73 psi, 6.11 psi
2024-11-04 10:32:31: 55.48 V, 0.81 psi, 6.04 psi
2024-11-04 10:33:31: 55.64 V, 0.93 psi, 5.96 psi
2024-11-04 10:34:31: 55.80 V, 1.05 psi, 5.87 psi
2024-11-04 10:36:32: 55.78 V, 1.47 psi, 5.63 psi
2024-11-04 10:37:32: 55.82 V, 1.70 psi, 5.51 psi
2024-11-04 10:38:32: 55.94 V, 1.96 psi, 5.40 psi
2024-11-04 10:39:32: 56.05 V, 2.21 psi, 5.29 psi
2024-11-04 10:40:32: 56.05 V, 2.50 psi, 5.18 psi
2024-11-04 10:41:32: 56.18 V, 2.79 psi, 5.07 psi
2024-11-04 10:42:32: 56.31 V, 3.13 psi, 4.97 psi
2024-11-04 10:43:32: 56.43 V, 3.44 psi, 4.88 psi
2024-11-04 10:44:32: 56.52 V, 3.72 psi, 4.81 psi
2024-11-04 10:45:32: 56.55 V, 3.94 psi, 4.76 psi
2024-11-04 10:46:32: 56.61 V, 4.10 psi, 4.72 psi
2024-11-04 10:47:32: 56.55 V, 4.23 psi, 4.69 psi
2024-11-04 10:48:32: 56.57 V, 4.31 psi, 4.67 psi
2024-11-04 10:49:32: 56.60 V, 4.38 psi, 4.66 psi
2024-11-04 10:50:32: 56.72 V, 4.39 psi, 4.64 psi
2024-11-04 10:51:32: 56.67 V, 4.41 psi, 4.63 psi
2024-11-04 10:52:33: 56.62 V, 4.41 psi, 4.62 psi
2024-11-04 10:53:33: 56.59 V, 4.39 psi, 4.60 psi
2024-11-04 10:54:33: 56.73 V, 4.39 psi, 4.59 psi
2024-11-04 10:55:33: 56.72 V, 4.37 psi, 4.58 psi
2024-11-04 10:56:33: 56.71 V, 4.36 psi, 4.57 psi
2024-11-04 10:57:33: 56.70 V, 4.33 psi, 4.55 psi
2024-11-04 10:58:33: 56.70 V, 4.32 psi, 4.54 psi
2024-11-04 10:59:33: 56.70 V, 4.29 psi, 4.52 psi
2024-11-04 11:00:33: 56.64 V, 4.27 psi, 4.50 psi
2024-11-04 11:01:33: 56.68 V, 4.24 psi, 4.48 psi
2024-11-04 11:02:33: 56.66 V, 4.21 psi, 4.46 psi
2024-11-04 11:03:33: 56.60 V, 4.21 psi, 4.44 psi
2024-11-04 11:04:33: 56.70 V, 4.17 psi, 4.41 psi
2024-11-04 11:05:33: 56.72 V, 4.14 psi, 4.39 psi
2024-11-04 11:06:33: 56.63 V, 4.12 psi, 4.37 psi
2024-11-04 11:07:33: 56.62 V, 4.09 psi, 4.35 psi
2024-11-04 11:08:33: 56.60 V, 4.07 psi, 4.32 psi
2024-11-04 11:09:34: 56.60 V, 4.04 psi, 4.30 psi
2024-11-04 11:10:34: 56.71 V, 4.02 psi, 4.28 psi
2024-11-04 11:12:34: 56.64 V, 3.97 psi, 4.22 psi
2024-11-04 11:13:34: 56.67 V, 3.94 psi, 4.20 psi
2024-11-04 11:14:34: 56.65 V, 3.91 psi, 4.17 psi
2024-11-04 11:15:34: 56.76 V, 3.89 psi, 4.15 psi
2024-11-04 11:16:34: 56.75 V, 3.86 psi, 4.12 psi
2024-11-04 11:17:34: 56.63 V, 3.85 psi, 4.10 psi
2024-11-04 11:18:34: 56.62 V, 3.80 psi, 4.08 psi
2024-11-04 11:19:34: 56.57 V, 3.79 psi, 4.05 psi
2024-11-04 11:20:34: 56.58 V, 3.75 psi, 4.03 psi
2024-11-04 11:21:34: 56.57 V, 3.72 psi, 4.00 psi
2024-11-04 11:22:34: 56.56 V, 3.71 psi, 3.98 psi
2024-11-04 11:23:34: 56.56 V, 3.67 psi, 3.95 psi
2024-11-04 11:24:34: 56.66 V, 3.66 psi, 3.93 psi
2024-11-04 11:25:34: 56.65 V, 3.62 psi, 3.91 psi
2024-11-04 11:26:35: 56.74 V, 3.61 psi, 3.88 psi
2024-11-04 11:27:35: 56.74 V, 3.58 psi, 3.85 psi
2024-11-04 11:28:35: 56.68 V, 3.55 psi, 3.83 psi
2024-11-04 11:29:35: 56.61 V, 3.53 psi, 3.81 psi
2024-11-04 11:30:35: 56.59 V, 3.50 psi, 3.78 psi
2024-11-04 11:31:35: 56.59 V, 3.49 psi, 3.76 psi
2024-11-04 11:32:35: 56.58 V, 3.46 psi, 3.73 psi
2024-11-04 11:33:35: 56.65 V, 3.44 psi, 3.71 psi
2024-11-04 11:34:35: 56.44 V, 3.43 psi, 3.69 psi
2024-11-04 11:35:35: 56.45 V, 3.39 psi, 3.66 psi
2024-11-04 11:36:35: 56.54 V, 3.38 psi, 3.64 psi
2024-11-04 11:37:35: 56.52 V, 3.34 psi, 3.62 psi
2024-11-04 11:38:35: 56.53 V, 3.32 psi, 3.59 psi
2024-11-04 11:39:35: 56.51 V, 3.29 psi, 3.57 psi
2024-11-04 11:40:35: 56.46 V, 3.27 psi, 3.54 psi
2024-11-04 11:41:35: 56.49 V, 3.24 psi, 3.52 psi
2024-11-04 11:42:36: 56.59 V, 3.21 psi, 3.49 psi
2024-11-04 11:42:36: 56.59 V, 3.21 psi, 3.49 psi
2024-11-04 11:43:36: 56.58 V, 3.19 psi, 3.47 psi
2024-11-04 11:44:36: 56.68 V, 3.15 psi, 3.44 psi
2024-11-04 11:45:36: 56.56 V, 3.14 psi, 3.42 psi
2024-11-04 11:46:36: 56.53 V, 3.11 psi, 3.39 psi
2024-11-04 11:47:36: 56.53 V, 3.10 psi, 3.37 psi
2024-11-04 11:48:36: 56.44 V, 3.06 psi, 3.35 psi
2024-11-04 11:49:36: 56.45 V, 3.03 psi, 3.32 psi
2024-11-04 11:50:36: 56.51 V, 3.02 psi, 3.29 psi
2024-11-04 11:51:36: 56.49 V, 2.98 psi, 3.27 psi
2024-11-04 11:52:36: 56.49 V, 2.97 psi, 3.25 psi
2024-11-04 11:53:36: 56.58 V, 2.93 psi, 3.22 psi
2024-11-04 11:54:36: 56.58 V, 2.91 psi, 3.20 psi
2024-11-04 11:55:36: 56.68 V, 2.87 psi, 3.17 psi
2024-11-04 11:56:36: 56.63 V, 2.85 psi, 3.14 psi
2024-11-04 11:57:36: 56.54 V, 2.82 psi, 3.12 psi
2024-11-04 11:59:37: 56.63 V, 2.77 psi, 3.07 psi
2024-11-04 12:00:37: 56.62 V, 2.73 psi, 3.04 psi
2024-11-04 12:02:37: 56.72 V, 2.69 psi, 3.00 psi
2024-11-04 12:03:37: 56.69 V, 2.68 psi, 2.97 psi
2024-11-04 12:04:37: 56.70 V, 2.67 psi, 2.95 psi
2024-11-04 12:05:37: 56.69 V, 2.63 psi, 2.93 psi
2024-11-04 12:06:37: 56.68 V, 2.62 psi, 2.91 psi
2024-11-04 12:07:37: 56.76 V, 2.59 psi, 2.88 psi
2024-11-04 12:08:37: 56.73 V, 2.55 psi, 2.86 psi
2024-11-04 12:09:37: 56.72 V, 2.44 psi, 2.87 psi
2024-11-04 12:10:37: 56.82 V, 2.44 psi, 2.84 psi
2024-11-04 12:11:37: 56.72 V, 2.45 psi, 2.81 psi
2024-11-04 12:12:37: 56.72 V, 2.43 psi, 2.78 psi
2024-11-04 12:13:37: 56.82 V, 2.42 psi, 2.75 psi
2024-11-04 12:14:37: 56.81 V, 2.40 psi, 2.73 psi
2024-11-04 12:15:38: 56.78 V, 2.38 psi, 2.70 psi
2024-11-04 12:16:38: 56.79 V, 2.37 psi, 2.68 psi
2024-11-04 12:17:38: 56.79 V, 2.34 psi, 2.65 psi
2024-11-04 12:18:38: 56.78 V, 2.31 psi, 2.64 psi
2024-11-04 12:19:38: 56.88 V, 2.29 psi, 2.61 psi
2024-11-04 12:20:38: 56.76 V, 2.28 psi, 2.59 psi
2024-11-04 12:21:38: 56.76 V, 2.26 psi, 2.56 psi
2024-11-04 12:22:38: 56.74 V, 2.25 psi, 2.54 psi
2024-11-04 12:23:38: 56.74 V, 2.22 psi, 2.52 psi
2024-11-04 12:24:38: 56.71 V, 2.19 psi, 2.49 psi
2024-11-04 12:25:38: 56.84 V, 2.18 psi, 2.47 psi
2024-11-04 12:26:38: 56.83 V, 2.16 psi, 2.45 psi
2024-11-04 12:27:38: 56.71 V, 2.15 psi, 2.43 psi
2024-11-04 12:28:38: 56.69 V, 2.12 psi, 2.41 psi
2024-11-04 12:29:38: 56.90 V, 2.12 psi, 2.38 psi
2024-11-04 12:30:38: 56.90 V, 2.09 psi, 2.36 psi
2024-11-04 12:31:38: 56.85 V, 2.07 psi, 2.34 psi
2024-11-04 12:32:39: 56.78 V, 2.05 psi, 2.32 psi
2024-11-04 12:33:39: 56.77 V, 2.03 psi, 2.30 psi
2024-11-04 12:34:39: 56.88 V, 2.02 psi, 2.28 psi
2024-11-04 12:35:39: 56.98 V, 2.01 psi, 2.26 psi
2024-11-04 12:36:39: 56.98 V, 1.99 psi, 2.25 psi
2024-11-04 12:37:39: 56.97 V, 1.98 psi, 2.23 psi
2024-11-04 12:38:39: 56.96 V, 1.95 psi, 2.21 psi
2024-11-04 12:39:39: 57.05 V, 1.95 psi, 2.19 psi
2024-11-04 12:40:39: 57.06 V, 1.92 psi, 2.17 psi
2024-11-04 12:41:39: 57.00 V, 1.90 psi, 2.15 psi
2024-11-04 12:42:39: 57.15 V, 1.89 psi, 2.13 psi
2024-11-04 12:43:39: 57.15 V, 1.87 psi, 2.11 psi
2024-11-04 12:44:39: 57.25 V, 1.86 psi, 2.10 psi
2024-11-04 12:45:39: 57.34 V, 1.84 psi, 2.08 psi
2024-11-04 12:46:39: 57.34 V, 1.83 psi, 2.06 psi
2024-11-04 12:47:39: 57.45 V, 1.81 psi, 2.04 psi
2024-11-04 12:48:40: 57.41 V, 1.81 psi, 2.03 psi
2024-11-04 12:49:40: 57.33 V, 1.78 psi, 2.01 psi
2024-11-04 12:50:40: 57.32 V, 1.76 psi, 2.00 psi
2024-11-04 12:51:40: 57.44 V, 1.75 psi, 1.98 psi
2024-11-04 12:52:40: 57.44 V, 1.73 psi, 1.96 psi
2024-11-04 12:53:40: 57.86 V, 1.73 psi, 1.95 psi
2024-11-04 12:54:40: 57.97 V, 1.71 psi, 1.94 psi
2024-11-04 12:55:40: 57.95 V, 1.71 psi, 1.92 psi
2024-11-04 12:56:40: 58.04 V, 1.68 psi, 1.90 psi
2024-11-04 12:57:40: 58.02 V, 1.67 psi, 1.89 psi
2024-11-04 12:58:40: 58.28 V, 1.65 psi, 1.88 psi
2024-11-04 12:59:40: 58.26 V, 1.63 psi, 1.86 psi
2024-11-04 13:00:40: 58.37 V, 1.63 psi, 1.84 psi
2024-11-04 13:01:40: 58.37 V, 1.61 psi, 1.83 psi
2024-11-04 13:02:40: 58.03 V, 1.61 psi, 1.81 psi
2024-11-04 13:03:40: 57.92 V, 1.58 psi, 1.80 psi
2024-11-04 13:04:40: 57.88 V, 1.58 psi, 1.79 psi
2024-11-04 13:05:41: 58.99 V, 1.57 psi, 1.77 psi
2024-11-04 13:06:41: 59.10 V, 1.54 psi, 1.76 psi
2024-11-04 13:07:41: 59.05 V, 1.53 psi, 1.74 psi
2024-11-04 13:08:41: 58.22 V, 1.52 psi, 1.73 psi
2024-11-04 13:09:41: 58.22 V, 1.50 psi, 1.72 psi
2024-11-04 13:10:41: 58.74 V, 1.49 psi, 1.70 psi
2024-11-04 13:11:41: 58.85 V, 1.47 psi, 1.68 psi
2024-11-04 13:12:41: 58.84 V, 1.46 psi, 1.67 psi
2024-11-04 13:13:41: 58.95 V, 1.44 psi, 1.66 psi
