2024-10-28 00:00:48: 52.59 V, 1.56 psi, 1.70 psi
2024-10-28 06:35:13: 55.45 V, 0.94 psi, 1.08 psi
2024-10-28 06:36:13: 55.16 V, 0.93 psi, 1.05 psi
2024-10-28 06:37:13: 55.16 V, 0.90 psi, 1.03 psi
2024-10-28 06:38:13: 55.45 V, 0.89 psi, 1.01 psi
2024-10-28 06:39:14: 55.45 V, 0.86 psi, 0.99 psi
2024-10-28 06:40:14: 55.45 V, 0.84 psi, 0.97 psi
2024-10-28 06:41:14: 55.45 V, 0.82 psi, 0.95 psi
2024-10-28 06:42:14: 55.45 V, 0.80 psi, 0.93 psi
2024-10-28 06:43:14: 55.73 V, 0.78 psi, 0.92 psi
2024-10-28 06:44:14: 55.73 V, 0.77 psi, 0.90 psi
2024-10-28 06:45:14: 55.45 V, 0.75 psi, 0.88 psi
2024-10-28 06:46:14: 55.45 V, 0.73 psi, 0.86 psi
2024-10-28 06:47:14: 55.45 V, 0.72 psi, 0.84 psi
2024-10-28 06:48:14: 55.73 V, 0.70 psi, 0.82 psi
2024-10-28 06:49:14: 55.73 V, 0.68 psi, 0.80 psi
2024-10-28 06:50:14: 55.45 V, 0.66 psi, 0.79 psi
2024-10-28 06:51:14: 55.45 V, 0.65 psi, 0.77 psi
2024-10-28 06:52:14: 55.73 V, 0.63 psi, 0.75 psi
2024-10-28 06:53:14: 55.73 V, 0.61 psi, 0.73 psi
2024-10-28 06:54:14: 55.73 V, 0.60 psi, 0.72 psi
2024-10-28 06:55:14: 55.73 V, 0.58 psi, 0.70 psi
2024-10-28 06:56:15: 55.73 V, 0.57 psi, 0.68 psi
2024-10-28 06:57:15: 55.73 V, 0.55 psi, 0.67 psi
2024-10-28 06:58:15: 55.73 V, 0.54 psi, 0.65 psi
2024-10-28 06:59:15: 55.73 V, 0.52 psi, 0.64 psi
2024-10-28 07:00:15: 55.73 V, 0.51 psi, 0.62 psi
2024-10-28 07:01:15: 55.73 V, 0.49 psi, 0.61 psi
2024-10-28 07:02:15: 55.73 V, 0.48 psi, 0.59 psi
2024-10-28 07:04:15: 55.73 V, 0.45 psi, 0.56 psi
2024-10-28 07:05:15: 55.73 V, 0.44 psi, 0.55 psi
2024-10-28 07:06:15: 55.73 V, 0.42 psi, 0.53 psi
2024-10-28 07:07:15: 55.73 V, 0.41 psi, 0.52 psi
2024-10-28 07:08:15: 56.02 V, 0.40 psi, 0.51 psi
2024-10-28 07:09:15: 56.02 V, 0.38 psi, 0.49 psi
2024-10-28 07:10:15: 56.02 V, 0.37 psi, 0.48 psi
2024-10-28 07:11:15: 56.02 V, 0.36 psi, 0.47 psi
2024-10-28 07:12:15: 56.02 V, 0.35 psi, 0.46 psi
2024-10-28 07:13:16: 56.02 V, 0.34 psi, 0.44 psi
2024-10-28 07:14:16: 56.02 V, 0.32 psi, 0.43 psi
2024-10-28 07:15:16: 56.02 V, 0.31 psi, 0.41 psi
2024-10-28 07:16:16: 56.02 V, 0.30 psi, 0.40 psi
2024-10-28 07:17:16: 56.02 V, 0.29 psi, 0.39 psi
2024-10-28 07:18:16: 56.02 V, 0.27 psi, 0.37 psi
2024-10-28 07:19:16: 56.02 V, 0.26 psi, 0.36 psi
2024-10-28 07:20:16: 56.02 V, 0.26 psi, 0.35 psi
2024-10-28 07:21:16: 56.02 V, 0.25 psi, 0.34 psi
2024-10-28 07:22:16: 56.02 V, 0.33 psi, 0.36 psi
2024-10-28 07:23:16: 56.02 V, 0.34 psi, 0.39 psi
2024-10-28 07:24:16: 56.02 V, 0.34 psi, 0.41 psi
2024-10-28 07:25:16: 56.31 V, 0.37 psi, 0.43 psi
2024-10-28 07:26:16: 56.31 V, 0.38 psi, 0.45 psi
2024-10-28 07:27:16: 56.31 V, 0.41 psi, 0.47 psi
2024-10-28 07:28:16: 56.02 V, 0.42 psi, 0.48 psi
2024-10-28 07:29:16: 56.31 V, 0.45 psi, 0.50 psi
2024-10-28 07:30:17: 56.31 V, 0.45 psi, 0.52 psi
2024-10-28 07:31:17: 56.31 V, 0.47 psi, 0.54 psi
2024-10-28 07:32:17: 56.02 V, 0.50 psi, 0.56 psi
2024-10-28 07:33:17: 56.02 V, 0.51 psi, 0.58 psi
2024-10-28 07:34:17: 56.31 V, 0.53 psi, 0.60 psi
2024-10-28 07:35:17: 56.31 V, 0.54 psi, 0.62 psi
2024-10-28 07:36:17: 56.31 V, 0.57 psi, 0.64 psi
2024-10-28 07:37:17: 56.31 V, 0.59 psi, 0.66 psi
2024-10-28 07:38:17: 56.31 V, 0.60 psi, 0.67 psi
2024-10-28 07:39:17: 56.02 V, 0.63 psi, 0.70 psi
2024-10-28 07:40:17: 56.02 V, 0.65 psi, 0.72 psi
2024-10-28 07:41:17: 56.02 V, 0.66 psi, 0.74 psi
2024-10-28 07:42:17: 56.31 V, 0.69 psi, 0.76 psi
2024-10-28 07:44:17: 56.02 V, 0.72 psi, 0.80 psi
2024-10-28 07:45:17: 56.02 V, 0.73 psi, 0.82 psi
2024-10-28 07:46:17: 56.02 V, 0.77 psi, 0.84 psi
2024-10-28 07:47:18: 56.02 V, 0.78 psi, 0.86 psi
2024-10-28 07:48:18: 56.02 V, 0.79 psi, 0.88 psi
2024-10-28 07:49:18: 56.02 V, 0.82 psi, 0.90 psi
2024-10-28 07:50:18: 56.02 V, 0.84 psi, 0.92 psi
2024-10-28 07:51:18: 56.02 V, 0.85 psi, 0.94 psi
2024-10-28 07:52:18: 56.02 V, 0.87 psi, 0.95 psi
2024-10-28 07:53:18: 56.02 V, 0.90 psi, 0.97 psi
2024-10-28 07:54:18: 56.02 V, 0.91 psi, 0.99 psi
2024-10-28 07:55:18: 56.02 V, 0.94 psi, 1.01 psi
2024-10-28 07:56:18: 56.02 V, 0.96 psi, 1.03 psi
2024-10-28 07:57:18: 56.02 V, 0.97 psi, 1.05 psi
2024-10-28 07:58:18: 56.02 V, 0.99 psi, 1.07 psi
2024-10-28 07:59:18: 56.02 V, 1.01 psi, 1.09 psi
2024-10-28 08:00:18: 56.02 V, 1.04 psi, 1.12 psi
2024-10-28 08:01:18: 56.02 V, 1.05 psi, 1.14 psi
2024-10-28 08:02:18: 56.02 V, 1.08 psi, 1.16 psi
2024-10-28 08:03:18: 56.02 V, 1.10 psi, 1.18 psi
2024-10-28 08:04:18: 56.02 V, 1.11 psi, 1.20 psi
2024-10-28 08:05:19: 56.02 V, 1.14 psi, 1.22 psi
2024-10-28 08:06:19: 56.02 V, 1.17 psi, 1.24 psi
2024-10-28 08:07:19: 56.02 V, 1.18 psi, 1.26 psi
2024-10-28 08:08:19: 56.02 V, 1.20 psi, 1.28 psi
2024-10-28 08:09:19: 56.02 V, 1.22 psi, 1.31 psi
2024-10-28 08:10:19: 56.02 V, 1.25 psi, 1.33 psi
2024-10-28 08:11:19: 56.02 V, 1.27 psi, 1.35 psi
2024-10-28 08:12:19: 56.02 V, 1.30 psi, 1.38 psi
2024-10-28 08:14:19: 56.02 V, 1.34 psi, 1.42 psi
2024-10-28 08:15:19: 56.02 V, 1.36 psi, 1.44 psi
2024-10-28 08:16:19: 56.02 V, 1.39 psi, 1.46 psi
2024-10-28 08:17:19: 56.02 V, 1.39 psi, 1.48 psi
2024-10-28 08:18:19: 56.02 V, 1.41 psi, 1.50 psi
2024-10-28 08:19:19: 56.02 V, 1.44 psi, 1.52 psi
2024-10-28 08:20:19: 56.02 V, 1.46 psi, 1.54 psi
2024-10-28 08:21:20: 56.02 V, 1.49 psi, 1.57 psi
2024-10-28 08:22:20: 56.02 V, 1.51 psi, 1.59 psi
2024-10-28 08:23:20: 56.02 V, 1.52 psi, 1.61 psi
2024-10-28 08:25:20: 56.02 V, 1.57 psi, 1.65 psi
2024-10-28 08:26:20: 55.73 V, 1.60 psi, 1.68 psi
2024-10-28 08:27:20: 55.73 V, 1.62 psi, 1.70 psi
2024-10-28 08:28:20: 56.02 V, 1.64 psi, 1.72 psi
2024-10-28 08:29:20: 56.02 V, 1.66 psi, 1.75 psi
2024-10-28 08:30:20: 56.02 V, 1.69 psi, 1.77 psi
2024-10-28 08:31:20: 56.02 V, 1.70 psi, 1.79 psi
2024-10-28 08:32:20: 56.02 V, 1.72 psi, 1.82 psi
2024-10-28 08:33:20: 56.02 V, 1.75 psi, 1.85 psi
2024-10-28 08:34:20: 56.02 V, 1.77 psi, 1.87 psi
2024-10-28 08:35:20: 56.02 V, 1.80 psi, 1.89 psi
2024-10-28 08:36:20: 56.02 V, 1.83 psi, 1.91 psi
2024-10-28 08:37:20: 56.02 V, 1.86 psi, 1.94 psi
2024-10-28 08:38:21: 55.73 V, 1.87 psi, 1.96 psi
2024-10-28 08:39:21: 55.73 V, 1.89 psi, 1.99 psi
2024-10-28 08:40:21: 56.02 V, 1.93 psi, 2.02 psi
2024-10-28 08:41:21: 56.02 V, 1.95 psi, 2.04 psi
2024-10-28 08:42:21: 55.73 V, 1.98 psi, 2.06 psi
2024-10-28 08:43:21: 55.73 V, 2.00 psi, 2.09 psi
2024-10-28 08:44:21: 55.73 V, 2.02 psi, 2.12 psi
2024-10-28 08:45:21: 56.02 V, 2.00 psi, 2.11 psi
2024-10-28 08:46:21: 56.02 V, 2.00 psi, 2.10 psi
2024-10-28 08:47:21: 56.02 V, 2.01 psi, 2.11 psi
2024-10-28 08:48:21: 56.02 V, 2.01 psi, 2.11 psi
2024-10-28 08:49:21: 56.02 V, 2.02 psi, 2.12 psi
2024-10-28 08:50:21: 56.02 V, 2.02 psi, 2.12 psi
2024-10-28 08:51:21: 56.02 V, 2.02 psi, 2.12 psi
2024-10-28 08:52:21: 55.73 V, 2.02 psi, 2.12 psi
2024-10-28 08:53:21: 55.73 V, 2.02 psi, 2.11 psi
2024-10-28 08:54:22: 56.02 V, 2.01 psi, 2.11 psi
2024-10-28 08:55:22: 56.02 V, 1.99 psi, 2.10 psi
2024-10-28 08:56:22: 55.73 V, 1.99 psi, 2.09 psi
2024-10-28 08:57:22: 55.73 V, 1.96 psi, 2.07 psi
2024-10-28 08:58:22: 56.02 V, 1.94 psi, 2.05 psi
2024-10-28 08:59:22: 56.02 V, 1.92 psi, 2.04 psi
2024-10-28 09:00:22: 56.02 V, 1.88 psi, 2.01 psi
2024-10-28 09:01:22: 56.02 V, 1.86 psi, 1.99 psi
2024-10-28 09:02:22: 56.02 V, 1.84 psi, 1.96 psi
2024-10-28 09:03:22: 55.73 V, 1.81 psi, 1.94 psi
2024-10-28 09:04:22: 55.73 V, 1.79 psi, 1.91 psi
2024-10-28 09:05:22: 55.73 V, 1.76 psi, 1.89 psi
2024-10-28 09:06:22: 56.31 V, 1.72 psi, 1.86 psi
2024-10-28 09:07:22: 56.31 V, 1.70 psi, 1.83 psi
2024-10-28 09:08:22: 56.02 V, 1.67 psi, 1.80 psi
2024-10-28 09:09:22: 56.02 V, 1.63 psi, 1.77 psi
2024-10-28 09:10:22: 56.02 V, 1.62 psi, 1.75 psi
2024-10-28 09:11:22: 56.02 V, 1.60 psi, 1.72 psi
2024-10-28 09:12:23: 56.02 V, 1.55 psi, 1.70 psi
2024-10-28 09:13:23: 56.02 V, 1.54 psi, 1.67 psi
2024-10-28 09:14:23: 56.02 V, 1.50 psi, 1.64 psi
2024-10-28 09:15:23: 56.02 V, 1.47 psi, 1.61 psi
2024-10-28 09:16:23: 56.02 V, 1.44 psi, 1.58 psi
2024-10-28 09:17:23: 56.02 V, 1.42 psi, 1.55 psi
2024-10-28 09:18:23: 56.02 V, 1.40 psi, 1.52 psi
2024-10-28 09:19:23: 56.02 V, 1.36 psi, 1.50 psi
2024-10-28 09:20:23: 56.02 V, 1.35 psi, 1.47 psi
2024-10-28 09:21:23: 56.02 V, 1.30 psi, 1.45 psi
2024-10-28 09:22:23: 56.02 V, 1.30 psi, 1.42 psi
2024-10-28 09:23:23: 56.02 V, 1.25 psi, 1.39 psi
2024-10-28 09:24:23: 56.02 V, 1.23 psi, 1.37 psi
2024-10-28 09:25:23: 56.31 V, 1.21 psi, 1.34 psi
2024-10-28 09:26:23: 56.59 V, 1.18 psi, 1.32 psi
2024-10-28 09:27:23: 56.59 V, 1.16 psi, 1.29 psi
2024-10-28 09:28:23: 56.59 V, 1.12 psi, 1.26 psi
2024-10-28 09:29:24: 56.31 V, 1.11 psi, 1.24 psi
2024-10-28 09:30:24: 56.31 V, 1.07 psi, 1.21 psi
2024-10-28 09:31:24: 56.31 V, 1.07 psi, 1.19 psi
2024-10-28 09:32:24: 56.31 V, 1.03 psi, 1.16 psi
2024-10-28 09:33:24: 56.31 V, 1.01 psi, 1.14 psi
2024-10-28 09:34:24: 56.31 V, 0.98 psi, 1.12 psi
2024-10-28 09:35:24: 56.31 V, 0.96 psi, 1.09 psi
2024-10-28 09:36:24: 56.31 V, 0.94 psi, 1.07 psi
2024-10-28 09:37:24: 56.31 V, 0.93 psi, 1.05 psi
2024-10-28 09:38:24: 56.31 V, 0.92 psi, 1.03 psi
2024-10-28 09:39:24: 56.31 V, 0.88 psi, 1.01 psi
2024-10-28 09:40:24: 56.31 V, 0.87 psi, 0.99 psi
2024-10-28 09:41:24: 56.31 V, 0.87 psi, 0.97 psi
2024-10-28 09:42:24: 56.31 V, 0.83 psi, 0.95 psi
2024-10-28 09:43:24: 56.31 V, 0.82 psi, 0.94 psi
2024-10-28 09:44:24: 56.31 V, 0.80 psi, 0.92 psi
2024-10-28 09:45:25: 56.31 V, 0.78 psi, 0.90 psi
2024-10-28 09:46:25: 56.59 V, 0.76 psi, 0.88 psi
2024-10-28 09:47:25: 56.59 V, 0.74 psi, 0.86 psi
2024-10-28 09:48:25: 56.59 V, 0.73 psi, 0.84 psi
2024-10-28 09:49:25: 56.59 V, 0.70 psi, 0.82 psi
2024-10-28 09:50:25: 57.17 V, 0.69 psi, 0.81 psi
2024-10-28 09:52:25: 57.17 V, 0.65 psi, 0.77 psi
2024-10-28 09:53:25: 56.88 V, 0.63 psi, 0.75 psi
2024-10-28 09:54:25: 56.88 V, 0.62 psi, 0.73 psi
2024-10-28 09:55:25: 57.45 V, 0.61 psi, 0.72 psi
2024-10-28 09:56:25: 57.45 V, 0.58 psi, 0.70 psi
2024-10-28 09:57:25: 57.45 V, 0.58 psi, 0.68 psi
2024-10-28 09:58:25: 57.45 V, 0.55 psi, 0.67 psi
2024-10-28 09:59:25: 57.45 V, 0.55 psi, 0.65 psi
2024-10-28 10:00:25: 57.17 V, 0.52 psi, 0.64 psi
2024-10-28 10:01:25: 57.17 V, 0.51 psi, 0.62 psi
2024-10-28 10:02:26: 57.74 V, 0.49 psi, 0.60 psi
2024-10-28 10:03:26: 57.74 V, 0.48 psi, 0.59 psi
2024-10-28 10:04:26: 57.74 V, 0.48 psi, 0.58 psi
2024-10-28 10:05:26: 58.03 V, 0.45 psi, 0.56 psi
2024-10-28 10:06:26: 58.03 V, 0.45 psi, 0.55 psi
2024-10-28 10:07:26: 57.17 V, 0.42 psi, 0.53 psi
2024-10-28 10:08:26: 57.17 V, 0.41 psi, 0.52 psi
2024-10-28 10:09:26: 57.45 V, 0.40 psi, 0.51 psi
2024-10-28 10:10:26: 57.45 V, 0.38 psi, 0.49 psi
2024-10-28 10:11:26: 58.32 V, 0.38 psi, 0.48 psi
2024-10-28 10:12:26: 58.32 V, 0.35 psi, 0.46 psi
2024-10-28 10:13:26: 57.74 V, 0.36 psi, 0.44 psi
2024-10-28 10:14:26: 57.74 V, 0.33 psi, 0.43 psi
2024-10-28 10:15:26: 57.74 V, 0.32 psi, 0.42 psi
2024-10-28 10:16:26: 57.45 V, 0.31 psi, 0.40 psi
2024-10-28 10:17:26: 57.45 V, 0.29 psi, 0.39 psi
2024-10-28 10:18:26: 58.03 V, 0.29 psi, 0.38 psi
2024-10-28 10:19:27: 58.03 V, 0.27 psi, 0.36 psi
2024-10-28 10:20:27: 58.32 V, 0.27 psi, 0.35 psi
2024-10-28 10:21:27: 58.32 V, 0.25 psi, 0.34 psi
2024-10-28 10:23:27: 58.03 V, 0.24 psi, 0.33 psi
2024-10-28 10:25:27: 58.61 V, 0.25 psi, 0.32 psi
2024-10-28 10:26:27: 58.61 V, 0.24 psi, 0.32 psi
2024-10-28 10:27:27: 58.03 V, 0.25 psi, 0.32 psi
2024-10-28 10:28:27: 58.03 V, 0.24 psi, 0.32 psi
2024-10-28 10:29:27: 58.03 V, 0.25 psi, 0.32 psi
2024-10-28 10:30:27: 58.32 V, 0.25 psi, 0.32 psi
2024-10-28 10:31:27: 58.32 V, 0.25 psi, 0.32 psi
2024-10-28 10:32:27: 58.32 V, 0.25 psi, 0.32 psi
2024-10-28 10:33:27: 58.32 V, 0.24 psi, 0.32 psi
2024-10-28 10:34:27: 58.03 V, 0.25 psi, 0.32 psi
2024-10-28 10:35:27: 58.03 V, 0.25 psi, 0.32 psi
2024-10-28 10:36:28: 58.03 V, 0.25 psi, 0.32 psi
2024-10-28 10:37:28: 58.03 V, 0.25 psi, 0.32 psi
2024-10-28 10:38:28: 58.03 V, 0.24 psi, 0.32 psi
2024-10-28 10:39:28: 58.32 V, 0.25 psi, 0.32 psi
2024-10-28 10:40:28: 58.32 V, 0.25 psi, 0.32 psi
2024-10-28 10:41:28: 58.32 V, 0.26 psi, 0.33 psi
2024-10-28 10:42:28: 58.32 V, 0.25 psi, 0.33 psi
2024-10-28 10:43:28: 58.32 V, 0.24 psi, 0.32 psi
2024-10-28 10:44:28: 58.03 V, 0.25 psi, 0.32 psi
2024-10-28 10:45:28: 58.03 V, 0.24 psi, 0.32 psi
2024-10-28 10:46:28: 58.32 V, 0.26 psi, 0.33 psi
2024-10-28 10:47:28: 58.32 V, 0.24 psi, 0.33 psi
2024-10-28 10:48:28: 58.32 V, 0.25 psi, 0.33 psi
2024-10-28 10:49:28: 58.32 V, 0.25 psi, 0.32 psi
2024-10-28 10:50:28: 58.32 V, 0.25 psi, 0.33 psi
2024-10-28 10:51:28: 58.32 V, 0.25 psi, 0.33 psi
2024-10-28 10:52:28: 58.32 V, 0.25 psi, 0.32 psi
2024-10-28 10:53:29: 58.32 V, 0.26 psi, 0.33 psi
2024-10-28 10:54:29: 58.32 V, 0.24 psi, 0.32 psi
2024-10-28 10:55:29: 58.32 V, 0.26 psi, 0.32 psi
2024-10-28 10:56:29: 58.32 V, 0.24 psi, 0.32 psi
2024-10-28 10:57:29: 58.32 V, 0.24 psi, 0.31 psi
2024-10-28 10:58:29: 57.74 V, 0.25 psi, 0.31 psi
2024-10-28 10:59:29: 57.74 V, 0.24 psi, 0.31 psi
2024-10-28 11:00:29: 57.74 V, 0.26 psi, 0.31 psi
2024-10-28 11:02:29: 58.32 V, 0.25 psi, 0.31 psi
2024-10-28 11:03:29: 58.32 V, 0.24 psi, 0.28 psi
2024-10-28 11:05:29: 58.32 V, 0.58 psi, 0.18 psi
2024-10-28 11:06:29: 58.32 V, 0.69 psi, 0.11 psi
2024-10-28 11:07:29: 58.32 V, 0.93 psi, 0.05 psi
2024-10-28 11:08:29: 58.32 V, 1.05 psi, -0.01 psi
2024-10-28 11:09:29: 57.74 V, 1.39 psi, -0.07 psi
2024-10-28 11:10:29: 57.74 V, 1.73 psi, -0.13 psi
2024-10-28 11:11:30: 57.74 V, 1.93 psi, -0.18 psi
2024-10-28 11:12:30: 57.17 V, 2.22 psi, -0.23 psi
2024-10-28 11:13:30: 57.74 V, 2.69 psi, -0.20 psi
2024-10-28 11:14:30: 57.74 V, 2.75 psi, 2.77 psi
2024-10-28 11:15:30: 56.88 V, 2.91 psi, 2.97 psi
2024-10-28 11:16:30: 56.88 V, 3.21 psi, 3.19 psi
2024-10-28 11:17:30: 56.88 V, 3.40 psi, 3.44 psi
2024-10-28 11:18:30: 56.88 V, 3.70 psi, 3.66 psi
2024-10-28 11:19:30: 56.31 V, 3.89 psi, 3.92 psi
2024-10-28 11:20:30: 56.31 V, 4.08 psi, 4.15 psi
2024-10-28 11:21:30: 56.02 V, 4.41 psi, 4.42 psi
2024-10-28 11:22:30: 56.02 V, 4.55 psi, 4.66 psi
2024-10-28 11:23:30: 56.02 V, 4.88 psi, 4.89 psi
2024-10-28 11:24:30: 56.02 V, 5.06 psi, 5.09 psi
2024-10-28 11:25:30: 56.02 V, 5.35 psi, 5.29 psi
2024-10-28 11:26:30: 55.45 V, 5.51 psi, 5.44 psi
2024-10-28 11:27:30: 55.45 V, 5.73 psi, 5.51 psi
2024-10-28 11:28:31: 55.45 V, 5.81 psi, 5.50 psi
2024-10-28 11:29:31: 54.30 V, 5.84 psi, 5.41 psi
2024-10-28 11:30:31: 54.30 V, 5.81 psi, 5.25 psi
2024-10-28 11:31:31: 51.45 V, 5.70 psi, 5.04 psi
2024-10-28 11:32:31: 51.45 V, 5.61 psi, 4.80 psi
2024-10-28 11:33:31: 48.34 V, 5.39 psi, 4.40 psi
2024-10-28 11:34:31: 48.34 V, 5.23 psi, 3.89 psi
2024-10-28 11:35:31: 44.41 V, 4.86 psi, 3.33 psi
2024-10-28 11:36:31: 44.41 V, 4.60 psi, 2.82 psi
2024-10-28 11:37:31: 44.41 V, 4.33 psi, 2.35 psi
2024-10-28 11:38:31: 39.68 V, 3.86 psi, 1.89 psi
2024-10-28 11:39:31: 39.68 V, 3.43 psi, 1.57 psi
2024-10-28 11:40:31: 34.18 V, 3.21 psi, 1.52 psi
2024-10-28 11:41:31: 34.18 V, 3.03 psi, 1.64 psi
2024-10-28 11:42:31: 29.55 V, 2.76 psi, 1.78 psi
2024-10-28 11:43:31: 28.47 V, 2.68 psi, 1.92 psi
2024-10-28 11:44:31: 28.47 V, 2.62 psi, 2.04 psi
2024-10-28 11:45:32: 26.04 V, 2.60 psi, 2.15 psi
2024-10-28 11:46:32: 26.04 V, 2.61 psi, 2.26 psi
2024-10-28 11:47:32: 24.16 V, 2.68 psi, 2.36 psi
2024-10-28 11:48:32: 24.16 V, 2.71 psi, 2.46 psi
2024-10-28 11:49:32: 23.09 V, 2.83 psi, 2.55 psi
2024-10-28 11:50:32: 23.09 V, 2.87 psi, 2.64 psi
2024-10-28 11:51:32: 23.09 V, 2.96 psi, 2.73 psi
2024-10-28 11:52:32: 21.75 V, 3.03 psi, 2.81 psi
2024-10-28 11:53:32: 21.75 V, 3.14 psi, 2.90 psi
2024-10-28 11:54:32: 20.68 V, 3.21 psi, 2.99 psi
2024-10-28 11:55:32: 20.68 V, 3.32 psi, 3.07 psi
2024-10-28 11:56:32: 20.68 V, 3.40 psi, 3.16 psi
2024-10-28 11:57:32: 19.61 V, 3.50 psi, 3.25 psi
2024-10-28 11:58:32: 19.61 V, 3.55 psi, 3.33 psi
2024-10-28 11:59:32: 18.01 V, 3.67 psi, 3.42 psi
2024-10-28 12:00:32: 18.01 V, 3.72 psi, 3.51 psi
2024-10-28 12:01:32: 16.95 V, 3.84 psi, 3.60 psi
2024-10-28 12:02:33: 16.95 V, 3.89 psi, 3.69 psi
2024-10-28 12:03:33: 15.89 V, 4.02 psi, 3.78 psi
2024-10-28 12:04:33: 15.89 V, 4.07 psi, 3.87 psi
2024-10-28 12:05:33: 15.89 V, 4.19 psi, 3.96 psi
2024-10-28 12:06:33: 14.56 V, 4.26 psi, 4.04 psi
2024-10-28 12:07:33: 14.56 V, 4.36 psi, 4.13 psi
2024-10-28 12:08:33: 13.50 V, 4.43 psi, 4.22 psi
2024-10-28 12:09:33: 13.50 V, 4.54 psi, 4.31 psi
2024-10-28 12:10:33: 12.44 V, 4.66 psi, 4.40 psi
2024-10-28 12:11:33: 12.44 V, 4.72 psi, 4.50 psi
2024-10-28 12:12:33: 12.44 V, 4.78 psi, 4.59 psi
2024-10-28 12:13:33: 10.32 V, 4.93 psi, 4.68 psi
2024-10-28 12:14:33: 10.32 V, 4.98 psi, 4.78 psi
2024-10-28 12:15:33: 9.53 V, 5.11 psi, 4.87 psi
2024-10-28 12:16:33: 9.53 V, 5.16 psi, 4.96 psi
2024-10-28 12:17:33: 9.53 V, 5.30 psi, 5.05 psi
2024-10-28 12:18:33: 7.95 V, 5.37 psi, 5.15 psi
2024-10-28 12:19:33: 7.95 V, 5.46 psi, 5.24 psi
2024-10-28 12:20:34: 6.63 V, 5.55 psi, 5.34 psi
2024-10-28 12:21:34: 6.63 V, 5.67 psi, 5.44 psi
2024-10-28 12:22:34: 5.57 V, 5.76 psi, 5.54 psi
2024-10-28 12:23:34: 5.57 V, 5.91 psi, 5.63 psi
2024-10-28 12:24:34: 5.57 V, 5.89 psi, 5.93 psi
2024-10-28 12:25:34: 4.25 V, 5.84 psi, 5.94 psi
2024-10-28 12:26:34: 4.25 V, 5.81 psi, 5.93 psi
2024-10-28 12:27:34: 4.25 V, 5.81 psi, 5.92 psi
2024-10-28 12:28:34: 4.25 V, 5.77 psi, 5.91 psi
2024-10-28 12:29:34: 4.25 V, 5.77 psi, 5.90 psi
2024-10-28 12:30:34: 4.51 V, 5.72 psi, 5.89 psi
2024-10-28 12:31:34: 4.51 V, 5.72 psi, 5.87 psi
2024-10-28 12:32:34: 4.51 V, 5.70 psi, 5.86 psi
2024-10-28 12:33:34: 4.51 V, 5.67 psi, 5.85 psi
2024-10-28 12:34:34: 4.51 V, 5.66 psi, 5.83 psi
2024-10-28 12:35:34: 4.51 V, 5.63 psi, 5.82 psi
2024-10-28 12:36:34: 4.51 V, 5.63 psi, 5.81 psi
2024-10-28 12:37:35: 4.51 V, 5.59 psi, 5.80 psi
2024-10-28 12:38:35: 4.51 V, 5.60 psi, 5.79 psi
2024-10-28 12:39:35: 4.51 V, 5.57 psi, 5.78 psi
2024-10-28 12:40:35: 4.51 V, 5.56 psi, 5.76 psi
2024-10-28 12:41:35: 4.78 V, 5.55 psi, 5.75 psi
2024-10-28 12:42:35: 4.78 V, 5.53 psi, 5.74 psi
2024-10-28 12:43:35: 4.51 V, 5.54 psi, 5.73 psi
2024-10-28 12:44:35: 4.51 V, 5.52 psi, 5.72 psi
2024-10-28 12:45:35: 4.51 V, 5.50 psi, 5.71 psi
2024-10-28 12:46:35: 4.51 V, 5.50 psi, 5.70 psi
2024-10-28 12:47:35: 4.51 V, 5.47 psi, 5.68 psi
2024-10-28 12:48:35: 4.78 V, 5.48 psi, 5.67 psi
2024-10-28 12:49:35: 4.78 V, 5.45 psi, 5.66 psi
2024-10-28 12:50:35: 4.78 V, 5.45 psi, 5.65 psi
2024-10-28 12:51:35: 4.51 V, 5.44 psi, 5.64 psi
2024-10-28 12:52:35: 4.51 V, 5.42 psi, 5.63 psi
2024-10-28 12:53:35: 4.78 V, 5.42 psi, 5.62 psi
2024-10-28 12:54:36: 4.78 V, 5.40 psi, 5.61 psi
2024-10-28 12:55:36: 4.78 V, 5.40 psi, 5.60 psi
2024-10-28 12:56:36: 4.78 V, 5.38 psi, 5.58 psi
2024-10-28 12:57:36: 4.51 V, 5.38 psi, 5.58 psi
2024-10-28 12:58:36: 4.51 V, 5.37 psi, 5.56 psi
2024-10-28 12:59:36: 4.51 V, 5.35 psi, 5.55 psi
2024-10-28 13:00:36: 4.78 V, 5.36 psi, 5.54 psi
2024-10-28 13:01:36: 4.78 V, 5.33 psi, 5.53 psi
2024-10-28 13:02:36: 4.78 V, 5.34 psi, 5.52 psi
2024-10-28 13:03:36: 4.78 V, 5.31 psi, 5.51 psi
2024-10-28 13:04:36: 4.78 V, 5.32 psi, 5.50 psi
2024-10-28 13:05:36: 4.78 V, 5.30 psi, 5.49 psi
2024-10-28 13:06:36: 4.78 V, 5.29 psi, 5.48 psi
2024-10-28 13:07:36: 4.51 V, 5.28 psi, 5.47 psi
2024-10-28 13:08:36: 4.51 V, 5.27 psi, 5.46 psi
2024-10-28 13:09:36: 4.78 V, 5.26 psi, 5.45 psi
2024-10-28 13:10:36: 4.78 V, 5.25 psi, 5.44 psi
